product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count,Date
6.00966E+12,Grape - Carbonated Soft Drink,500 ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,26,57,May-21
7.81718E+11,natural pure water,1.5 l,Pure Water,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
5.449E+12,Fanta Grape,2.0 L,Fanta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,22,May-21
6.00982E+12,Água mineral,1.5 L,Vengo,MZ,Água Vengo,MZ,https://wastebase.org/#/o/341b98a9-77c5-46f6-874d-6cc972ef077e,,11,May-21
6.00988E+12,Izy Coco Pine,340 ml,Izy,MZ,Moz Beverages Lda,MZ,https://wastebase.org/#/o/f66aacf8-5f3f-4a41-8240-376962c3aaff,21,29,May-21
9.507E+12,Agua Mineral Diamante Liquido,500 ml,Glaciar,MZ,Glaciar Industria e Comercio,MZ,https://wastebase.org/#/o/0d4adecb-eec9-41d4-b2ab-b3500061b5bb,,1,May-21
8.69286E+12,Liquid Hand Wash,500 ml,Papilion,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
6.203E+12,plain yoghurt,500ml,Milk Com,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
5.05407E+12,Still Natural Mineral Water,500ml,best-one,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
6.00257E+12,Daily multi v and minerals,60 g,Junglevites,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
6.00109E+12,Sunlight Liquid,750 ml,Sunlight,GB,Unilever Plc,MZ,https://wastebase.org/#/o/909d4d9f-4537-4a18-bb1b-cf8f3c8304bc,,35,May-21
6.0098E+12,Agua Purificada,6.0 L,Fonte Pura,MZ,Refrigerantes Spar Lda,MZ,https://wastebase.org/#/o/3f827fa3-1a74-4313-a7e1-f9628b6e745e,,50,May-21
5.60367E+12,Ambientador,250ml,ACTY,PT,Mistolin Company,MZ,https://wastebase.org/#/o/d54cec79-4126-4214-9111-e54ff2fdfbb5,,1,May-21
6.00963E+12,Água Montemor,500 ml,Montemor,MZ,Montemor SARL,MZ,https://wastebase.org/#/o/7e3e82c9-dcc1-4eb6-8ff6-be01c2481dc4,,19,May-21
6.0013E+12,Full Cream Milk UHT,1.0 L,Clover,ZA,Clover Industries,MZ,https://wastebase.org/#/o/4660beec-fd67-4925-a487-9bd23ceedb48,,2,May-21
7.99439E+12,Água Purificada,500ml,Aqua Azul,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,4,May-21
9.55614E+12,Drinking Water,1.5 L,Summer,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1,May-21
6.0099E+12,Limao Soft Drink,350ml,Frozy,MZ,Yaafico Industrial Lda,MZ,https://wastebase.org/#/o/4d807269-db16-4aaf-a454-934634c8c319,,8,May-21
4.8202E+12,Sunflower Seed Oil,1.0 L,Bonlife,UA,Manzaro Ukraine LLC,MZ,https://wastebase.org/#/o/d42dbf62-2cdb-4d7c-b226-b2c443191c42,,1,May-21
80922377,Agua Vumba,1.5 L,Vumba,MZ,"Sociedade Águas Vumba, SA",MZ,https://wastebase.org/#/o/027e8655-81cd-44c9-b14e-b15181f61a8f,,37,May-21
8.85077E+12,Fish oil,1000ml,Mega We care,TH,Mega Lifesciences Public Company Limited,TZ,https://wastebase.org/#/o/4ff327f9-f56d-410d-97b6-f79c2cc6cf9c,,1,May-21
